:ID|name:STRING|GO:STRING[]
AT1G75690|LQY1|GO:0003756,GO:0009507,GO:0009507,GO:0010206,GO:0009535,GO:0009570,GO:0009507,GO:0003756,GO:0009534,GO:0010206,GO:0005739
AT3G08740|AT3G08740|GO:0003746,GO:0005737,GO:0006414,GO:0009507,GO:0009570,GO:0009507,GO:0009570,GO:0009570,GO:0009507,GO:0005829,GO:0009059,GO:0009416,GO:0009793,GO:0016070,GO:0019684,GO:0033014,GO:0044281
AT2G23580|MES4|GO:0005634,GO:0009694,GO:0009696,GO:0080030,GO:0080031,GO:0080032,GO:0016788,GO:0080031,GO:0009696,GO:0005773
AT5G16060|AT5G16060|GO:0003674,GO:0005739,GO:0009536,GO:0016070,GO:0043412
AT3G16120|AT3G16120|GO:0005739,GO:0005739,GO:0005868,GO:0007017,GO:0045505,GO:0006629,GO:0006970,GO:0009414,GO:0018130,GO:0033993,GO:0046395,GO:1901362
AT5G05190|EDR4|GO:0005634,GO:0005515,GO:0005515,GO:0005768,GO:0005886,GO:0009620,GO:0009863,GO:0030100,GO:1900150,GO:0005515
AT2G21860|AT2G21860|GO:0009507,GO:0010028,GO:0016491,GO:0016851,GO:0046422,GO:0006351,GO:0048316,GO:1901566
AT1G19450|ERDL4|GO:0000325,GO:0015144,GO:0016020,GO:0022857,GO:0051119,GO:0055085,GO:0000325,GO:0000325,GO:0009705,GO:0015755
AT2G32980|AUG2|GO:0005634,GO:0007020,GO:0031023,GO:0051225,GO:0051225,GO:1990498,GO:0000278,GO:0000911,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0007020
AT5G52010|AT5G52010|GO:0009507,GO:0003700,GO:0006355
AT2G36830|GAMMA-TIP|GO:0005737,GO:0006833,GO:0009705,GO:0009740,GO:0015250,GO:0015250,GO:0009705,GO:0009941,GO:0015204,GO:0015840,GO:0000325,GO:0080170,GO:0000325,GO:0000326,GO:0009705,GO:0009705,GO:0042807,GO:0006833,GO:0006833,GO:0015250,GO:0055085
AT3G14395|MATI|GO:0003674,GO:0005634,GO:0002213,GO:0005634,GO:0005737,GO:0009863,GO:0009867,GO:0012505,GO:0015979,GO:0045454,GO:0080027,GO:1900367
AT3G01340|AT3G01340|GO:0005198,GO:0005198,GO:0005737,GO:0005737,GO:0006606,GO:0030127,GO:0031080,GO:0090114
AT3G02090|MPPBETA|GO:0004222,GO:0005739,GO:0005739,GO:0005739,GO:0008150,GO:0005739,GO:0005739,GO:0005739,GO:0005741,GO:0005743,GO:0005758,GO:0005759,GO:0005739,GO:0005739,GO:0005730,GO:0005730,GO:0009505,GO:0009505,GO:0000325,GO:0000325,GO:0005750,GO:0009507,GO:0009507,GO:0008270,GO:0005739,GO:0005829,GO:0005515
AT1G06460|ACD32.1|GO:0003674,GO:0005777,GO:0005777,GO:0005576,GO:0009409,GO:0009416,GO:0009642,GO:0009658,GO:0015979,GO:0044271,GO:0065003
AT3G15000|RIP1|GO:0005739,GO:0009507,GO:0080156,GO:0005739,GO:0005515,GO:0005739,GO:0005739,GO:0050897,GO:0005739,GO:0009451,GO:0009507,GO:0016554,GO:0080156,GO:0005739,GO:0005515,GO:0005515,GO:0042803,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005739,GO:0009507,GO:0005829,GO:0003729,GO:0005515
AT5G19430|AT5G19430|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0009416,GO:0010468,GO:0048367,GO:0050793,GO:0051252
AT4G34230|CAD5|GO:0005737,GO:0005737,GO:0008270,GO:0009809,GO:0016616,GO:0045551,GO:0052747,GO:0045551,GO:0009809,GO:0045551,GO:0009809,GO:0009809,GO:0005829
AT5G08650|cpLEPA|GO:0009507,GO:0009507,GO:0043022,GO:0045727,GO:0009507,GO:0005886,GO:0003729,GO:0009059,GO:0009409,GO:0009639,GO:0009642,GO:0016070,GO:0016114,GO:0044271,GO:0044283,GO:0065003
AT2G34380|SEIPIN3|GO:0005634,GO:0019915,GO:0034389,GO:0005783,GO:0005783,GO:0034389,GO:0034389,GO:0009846,GO:0010162,GO:0080155,GO:0140042,GO:0005515
AT5G39510|SGR4|GO:0000149,GO:0005484,GO:0005484,GO:0005789,GO:0005794,GO:0006906,GO:0012507,GO:0031201,GO:0031902,GO:0005515,GO:0005770,GO:0005802,GO:0006896,GO:0005770,GO:0005802,GO:0009630,GO:0030140,GO:0005515,GO:0000325,GO:0000325,GO:0005774,GO:0005515,GO:0000325,GO:0006623,GO:0080171,GO:0005829,GO:0005773,GO:0006906,GO:0005515,GO:0005515,GO:0005515,GO:0009536,GO:0005515,GO:0075733,GO:0009630,GO:0009630
AT4G04320|AT4G04320|GO:0005739,GO:0005739,GO:0005759,GO:0005782,GO:0006085,GO:0006633,GO:0006633,GO:0050080,GO:0050080,GO:2001294,GO:0005777,GO:0005829
AT1G52540|AT1G52540|GO:0004672,GO:0005634,GO:0005886,GO:0006468,GO:0005886,GO:0005886,GO:0009506,GO:0005886,GO:0009738,GO:0009888,GO:0010015,GO:0044085,GO:0048589,GO:1905392
AT5G47310|AT5G47310|GO:0005737,GO:0008233,GO:0016579,GO:0101005,GO:0006810,GO:0010468,GO:0036211
AT2G41720|EMB2654|GO:0003729,GO:0005739,GO:0009507,GO:0009507,GO:0009507,GO:0009793,GO:0010239,GO:0003735,GO:0008380,GO:0009507,GO:0009793,GO:0010239
AT1G23290|RPL27AB|GO:0003735,GO:0005737,GO:0006412,GO:0006412,GO:0015934,GO:0022625,GO:0005730,GO:0022626,GO:0022626,GO:0022625,GO:0009791,GO:0009908,GO:0010229,GO:0009506,GO:0005634,GO:0003729
AT4G38620|MYB4|GO:0000987,GO:0005634,GO:0005634,GO:0006355,GO:0010224,GO:0010224,GO:0045892,GO:1903086,GO:2000762,GO:0003700,GO:0003677,GO:0005515,GO:0005515,GO:0045892,GO:0000976,GO:0003677
AT3G25585|AAPT2|GO:0004142,GO:0004307,GO:0005575,GO:0006646,GO:0008654,GO:0016780,GO:0006810,GO:0009639,GO:0044281,GO:0051171,GO:0071482,GO:0080090
AT1G56150|SAUR71|GO:0003674,GO:0005737,GO:0006355,GO:0006979,GO:0009611,GO:0009620,GO:0042742,GO:0050832,GO:0071669,GO:0098542
AT1G50900|GDC1|GO:0006886,GO:0009507,GO:0009570,GO:0009941,GO:0090391,GO:0009570,GO:0009507,GO:0009507,GO:0090391,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0006886,GO:0009570,GO:0009941
AT5G48560|CIB2|GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0046983,GO:0003700,GO:0006355,GO:0003700,GO:0005634,GO:0005515,GO:0009637
AT3G11830|CCT7|GO:0005832,GO:0006457,GO:0006457,GO:0016887,GO:0051082,GO:0051082,GO:0140662,GO:0005829,GO:0005829
AT3G42960|ATA1|GO:0005575,GO:0042802,GO:0042802,GO:0009059,GO:0045491,GO:0048869
AT4G20730|Unknown|Unknown
AT1G30270|CIPK23|GO:0004674,GO:0004674,GO:0005886,GO:0006468,GO:0007165,GO:0009507,GO:0035556,GO:0005515,GO:0005515,GO:0005634,GO:0005737,GO:0004674,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:1990573,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0005829,GO:0005886,GO:0007584,GO:0009414,GO:0010118,GO:0005515,GO:0005515,GO:0005515,GO:0009536,GO:0005515,GO:0005515,GO:0010119,GO:0010118
AT1G51560|ONE2|GO:0003674,GO:0005575,GO:0005634,GO:0016070,GO:0022607
AT5G40930|TOM20-4|GO:0005739,GO:0005739,GO:0005742,GO:0045040,GO:0005742,GO:0005744,GO:0006626,GO:0015450,GO:0000325,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0006626,GO:0005515,GO:0009536,GO:0061617
AT3G15090|AT3G15090|GO:0003674,GO:0009507,GO:0005829,GO:0009416,GO:0065008
AT2G21230|bZIP30|GO:0003700,GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0003700,GO:0003700,GO:0000976,GO:0000976,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0005634,GO:0010628,GO:0010628,GO:0010629,GO:0010629,GO:0090567,GO:0090567,GO:0000976,GO:0000976,GO:0000976,GO:0000976
AT1G01010|NAC001|GO:0005634,GO:0006355,GO:0003700,GO:0006355,GO:0000976,GO:0006979,GO:0009414,GO:0009617,GO:0009737,GO:0010035,GO:0033993,GO:0043436,GO:0098542
AT3G13990|AT3G13990|GO:0005634,GO:0005634,GO:0003729,GO:0003729,GO:0010468,GO:0010605,GO:0010629,GO:0033036,GO:0048364,GO:0048507,GO:0048638,GO:0048869,GO:0051172,GO:0051252,GO:0051641,GO:2000026
AT5G04470|SIM|GO:0005634,GO:0032875,GO:0010026,GO:0042023,GO:0004861,GO:0005634,GO:0045839,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0045786
AT5G19050|AT5G19050|GO:0009507,GO:1901149,GO:0009620,GO:0010035,GO:0016070,GO:0018130,GO:0019438,GO:0031347,GO:0032787,GO:0044255,GO:0044271,GO:0046394,GO:0098542,GO:1901362
AT1G54840|IDM2|GO:0005634,GO:0005634,GO:0005737,GO:1901537,GO:0005515,GO:0005634,GO:0006338
AT1G56680|AT1G56680|GO:0004568,GO:0004568,GO:0005576,GO:0005975,GO:0006032,GO:0009507,GO:0016998
AT5G65220|PRPL29|GO:0003735,GO:0006412,GO:0009507,GO:0009941,GO:0042644,GO:0009507,GO:0009570,GO:0009507,GO:0009536
AT4G24310|DMP3|GO:0003674,GO:0005739,GO:0010256,GO:0010256,GO:0005783,GO:0090693
AT1G75400|AT1G75400|GO:0003674,GO:0005634,GO:0006355,GO:0006970,GO:0007165,GO:0009266,GO:0009414,GO:0009416,GO:0009893,GO:0019538,GO:0044248,GO:0097305,GO:1901565
AT2G46900|AT2G46900|GO:0003674,GO:0005634,GO:1990112,GO:0036211
AT4G03290|AT4G03290|GO:0005509,GO:0005509,GO:0005634,GO:0005634,GO:0005737,GO:0030154,GO:0048638
AT1G29680|AT1G29680|GO:0005634,GO:0005515,GO:0048316
AT3G42725|AT3G42725|GO:0003674,GO:0005575,GO:0000910,GO:0048869,GO:1905392
